"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,8.852799982E-2,-1.818922907E-1,9.827268600E0,9.829350444E0
4.964063000E-3,7.417237014E-2,-1.483926177E-1,9.844018936E0,9.845416737E0
9.926563000E-3,1.124604419E-1,-1.675366461E-1,9.800942421E0,9.803019342E0
1.489062500E-2,1.435659230E-1,-1.818922907E-1,9.834442139E0,9.837171756E0
1.985312500E-2,9.092220664E-2,-1.340369880E-1,9.853586197E0,9.854917235E0
2.481718800E-2,1.100662351E-1,-1.866806895E-1,9.781807899E0,9.784208197E0
2.977968800E-2,8.373960108E-2,-1.364311874E-1,9.808124542E0,9.809430810E0
3.474218800E-2,1.052778363E-1,-1.459984183E-1,9.796163559E0,9.797817075E0
3.970625000E-2,7.656657696E-2,-1.675366461E-1,9.786586761E0,9.788320153E0
4.466875000E-2,8.135497570E-2,-1.627482623E-1,9.817692757E0,9.819378631E0
4.963281300E-2,9.571061283E-2,-1.651424617E-1,9.841625214E0,9.843475982E0
5.459531300E-2,6.698976457E-2,-1.627482623E-1,9.877518654E0,9.879086465E0
5.955937500E-2,8.852799982E-2,-1.627482623E-1,9.824874878E0,9.826621524E0
6.452187500E-2,1.100662351E-1,-1.459984183E-1,9.798557281E0,9.800263002E0
6.948437500E-2,1.220276728E-1,-1.914691031E-1,9.848807335E0,9.851424115E0
7.444843800E-2,1.196334660E-1,-1.531810313E-1,9.846412659E0,9.848330764E0
7.941093800E-2,1.076720357E-1,-1.794980913E-1,9.877518654E0,9.879736211E0
8.437500000E-2,1.100662351E-1,-1.483926177E-1,9.858373642E0,9.860104757E0
8.933750000E-2,5.981673300E-2,-1.388253868E-1,9.867941856E0,9.869099605E0
9.430156300E-2,1.250156313E-1,-1.551346928E-1,9.825564384E0,9.827584197E0
9.926406300E-2,1.282047182E-1,-1.134085432E-1,9.885936737E0,9.887418425E0
1.042265630E-1,8.749370277E-2,-1.436520964E-1,9.836979866E0,9.838417757E0
1.091906250E-1,1.211849153E-1,-1.499345005E-1,9.781482697E0,9.783382333E0
1.141531250E-1,1.056704894E-1,-1.259350181E-1,9.811782837E0,9.813159956E0
1.191171880E-1,7.734229416E-2,-1.934227645E-1,9.818017960E0,9.820227637E0
1.240796880E-1,1.205720007E-1,-1.793161333E-1,9.857799530E0,9.860167517E0
1.290421880E-1,1.125274822E-1,-1.328973472E-1,9.877930641E0,9.879465466E0
1.340062500E-1,6.139690802E-2,-1.646540314E-1,9.875057220E0,9.876620659E0
1.389687500E-1,7.557057589E-2,-1.421485394E-1,9.864532471E0,9.865846035E0
1.439328130E-1,9.857407212E-2,-1.553549618E-1,9.825957298E0,9.827679728E0
1.488953130E-1,1.168466210E-1,-1.557284594E-1,9.851641655E0,9.853565232E0
1.538578130E-1,7.505343854E-2,-1.002021357E-1,9.857225418E0,9.858020411E0
1.588218750E-1,7.773493975E-2,-1.326579303E-1,9.865633965E0,9.866832033E0
1.637843750E-1,1.245176420E-1,-1.499727964E-1,9.850607872E0,9.852536320E0
1.687468750E-1,7.335833460E-2,-1.514093131E-1,9.847399712E0,9.848836850E0
1.737109380E-1,9.817184508E-2,-1.779083461E-1,9.862635612E0,9.864728598E0
1.786750000E-1,1.235312298E-1,-1.509783566E-1,9.874176025E0,9.876102805E0
1.836375000E-1,9.960836917E-2,-1.336347610E-1,9.856727600E0,9.858136693E0
1.886000000E-1,7.992803305E-2,-1.003457829E-1,9.863890648E0,9.864724856E0
1.935640630E-1,1.143183410E-1,-1.240388006E-1,9.856209755E0,9.857653120E0
1.985265630E-1,7.701668143E-2,-1.524053067E-1,9.843051910E0,9.844532993E0
2.034906250E-1,7.196012884E-2,-1.304073781E-1,9.819262505E0,9.820392074E0
2.084531250E-1,1.459888518E-1,-1.453376114E-1,9.786720276E0,9.788888064E0
2.134171880E-1,1.076816171E-1,-2.017450035E-1,9.818344116E0,9.821006953E0
2.183796880E-1,1.182831451E-1,-1.919862479E-1,9.783196449E0,9.785794929E0
2.233421880E-1,6.969042122E-2,-1.676898748E-1,9.831703186E0,9.833380100E0
2.283062500E-1,8.188170195E-2,-1.334240735E-1,9.840820312E0,9.842065384E0
2.332687500E-1,7.455544174E-2,-1.387487799E-1,9.861362457E0,9.862620304E0
2.382328130E-1,8.873869479E-2,-1.558625400E-1,9.892161369E0,9.893787154E0
2.431953130E-1,7.560888678E-2,-1.319683939E-1,9.872519493E0,9.873690977E0
2.481593750E-1,9.641928971E-2,-1.504995078E-1,9.885629654E0,9.887245341E0
2.531218750E-1,7.390422374E-2,-1.276205331E-1,9.845713615E0,9.846818036E0
2.580843750E-1,8.074206114E-2,-1.474923939E-1,9.876675606E0,9.878106818E0
2.630484380E-1,1.115506440E-1,-1.342093647E-1,9.946136475E0,9.947667388E0
2.680109380E-1,1.046553403E-1,-1.763856262E-1,9.817903519E0,9.820045526E0
2.729750000E-1,9.726204723E-2,-1.394287199E-1,9.840896606E0,9.842364873E0
2.779375000E-1,1.008725017E-1,-1.043584645E-1,9.869799614E0,9.870866749E0
