"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.076720357E-1,-1.771038771E-1,9.784202576E0,9.786397657E0
4.962500000E-3,1.387775093E-1,-2.488916367E-1,9.860768318E0,9.864885102E0
9.926562000E-3,9.331640601E-2,-1.794980913E-1,9.848807335E0,9.850884906E0
1.488906200E-2,1.124604419E-1,-2.273533940E-1,9.805730820E0,9.809010848E0
1.985156200E-2,1.459601074E-1,-1.914691031E-1,9.824874878E0,9.827824334E0
2.481562500E-2,1.435659230E-1,-1.340369880E-1,9.834442139E0,9.836403269E0
2.977812500E-2,1.459601074E-1,-1.938537359E-1,9.808124542E0,9.811125861E0
3.474218700E-2,1.268160790E-1,-1.603540480E-1,9.812912941E0,9.815042339E0
3.970468700E-2,1.818539947E-1,-1.699308604E-1,9.800942421E0,9.804102188E0
4.466875000E-2,1.148546413E-1,-1.747192740E-1,9.769837379E0,9.772074541E0
4.963125000E-2,9.092220664E-2,-2.034305334E-1,9.822480202E0,9.825007285E0
5.459375000E-2,1.196334660E-1,-2.321417928E-1,9.824874878E0,9.828345148E0
5.955625000E-2,1.076720357E-1,-1.507868171E-1,9.803337097E0,9.805087872E0
6.452031200E-2,1.435659230E-1,-1.579694152E-1,9.839230537E0,9.841545767E0
6.948437500E-2,1.316044778E-1,-2.201803625E-1,9.779414177E0,9.782777764E0
7.444687500E-2,1.196334660E-1,-2.010363340E-1,9.829663277E0,9.832446690E0
7.941093700E-2,1.459601074E-1,-1.842865050E-1,9.848807335E0,9.851612649E0
8.437343700E-2,1.244218722E-1,-1.747192740E-1,9.848807335E0,9.851142753E0
8.933750000E-2,7.417237014E-2,-1.794980913E-1,9.841625214E0,9.843541433E0
9.430000000E-2,1.314129531E-1,-1.722292900E-1,9.798720360E0,9.801114885E0
9.926250000E-2,1.338646114E-1,-2.021280825E-1,9.817539215E0,9.820532151E0
1.042250000E-1,1.107078865E-1,-2.405502349E-1,9.822068214E0,9.825637112E0
1.091890620E-1,1.286739856E-1,-1.852441728E-1,9.827049255E0,9.829637301E0
1.141531250E-1,1.253699809E-1,-2.068973333E-1,9.780696869E0,9.783688230E0
1.191156250E-1,1.406737268E-1,-1.901091933E-1,9.825152397E0,9.827998282E0
