"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.424562500E-1,-6.990111619E-2,-2.453578077E-2,9.801966667E0,9.802246616E0
3.474203130E-1,-5.836106092E-2,-1.723825117E-4,9.774654388E0,9.774828615E0
3.523828130E-1,-6.943184882E-2,2.128924243E-2,9.770354271E0,9.770624166E0
3.573468750E-1,-3.534799442E-2,-3.359543905E-2,9.707827568E0,9.707950053E0
3.623093750E-1,-2.780146897E-2,-3.987782449E-2,9.754198074E0,9.754319209E0
3.672734380E-1,-5.915593728E-2,-7.535989583E-2,9.773467064E0,9.773936617E0
3.722359380E-1,-8.369170874E-2,-2.446874045E-2,9.703288078E0,9.703679846E0
3.772000000E-1,-4.978981614E-2,-2.358767577E-2,9.751353264E0,9.751508903E0
3.821625000E-1,-5.059427023E-2,-5.188713968E-2,9.796919823E0,9.797187865E0
3.871250000E-1,-4.571967572E-2,-3.843172640E-2,9.750941277E0,9.751124195E0
3.920890630E-1,-5.374504253E-2,-5.099649727E-2,9.778111458E0,9.778392141E0
3.970515630E-1,-8.787677437E-2,-3.016693983E-3,9.763421059E0,9.763816989E0
4.020156250E-1,-4.653370380E-2,-6.147352234E-2,9.732324600E0,9.732629989E0
4.069781250E-1,-7.223785669E-2,-4.162080213E-2,9.724576950E0,9.724934316E0
4.119406250E-1,-6.291962415E-2,-4.214752465E-2,9.690216064E0,9.690511992E0
4.169046880E-1,-4.677312449E-2,-2.898899466E-2,9.708373070E0,9.708529021E0
4.218671880E-1,-5.717353895E-2,-2.220861427E-2,9.762281418E0,9.762474098E0
4.268312500E-1,-2.999455854E-2,-2.322375588E-2,9.728962898E0,9.729036853E0
4.317937500E-1,-3.407428041E-2,-4.580586776E-2,9.735685349E0,9.735852733E0
4.367578130E-1,-3.727293387E-2,-6.440402567E-2,9.772958755E0,9.773242041E0
4.417203130E-1,-3.691859171E-2,-2.660436928E-2,9.693059921E0,9.693166738E0
4.466828130E-1,-5.206909776E-2,-2.618298866E-2,9.748661995E0,9.748836209E0
4.516468750E-1,-5.731718987E-2,-3.288675472E-2,9.739516258E0,9.739740435E0
4.566093750E-1,-4.262636602E-2,-3.618117422E-2,9.718993187E0,9.719154009E0
4.615734380E-1,-4.977066442E-2,-3.575022146E-2,9.771034241E0,9.771226399E0
4.665359380E-1,-4.847779498E-2,-5.095818639E-2,9.760413170E0,9.760666580E0
4.715000000E-1,-3.249410540E-2,-6.890513003E-2,9.702790260E0,9.703089334E0
4.764625000E-1,-5.339069664E-2,-5.072834343E-2,9.764473915E0,9.764751649E0
4.814250000E-1,-5.204994604E-2,-6.695145369E-2,9.759119987E0,9.759488441E0
4.863890630E-1,-5.946239457E-2,-3.736870363E-2,9.739909172E0,9.740162364E0
4.913515630E-1,-7.070556283E-2,-2.844311669E-2,9.780304909E0,9.780601842E0
4.963156250E-1,-7.047571987E-2,-3.325067088E-2,9.765967369E0,9.766278262E0
5.012781250E-1,-6.853163242E-2,-8.274360560E-3,9.794075966E0,9.794319225E0
5.062421880E-1,-7.429686934E-2,-1.277546026E-2,9.757406235E0,9.757697457E0
5.112046880E-1,-6.557239592E-2,1.194227766E-2,9.764608383E0,9.764835853E0
5.161671880E-1,-4.259763658E-2,-2.421974391E-2,9.756898880E0,9.757021928E0
5.211312500E-1,-5.191586912E-2,-5.776729807E-2,9.720391273E0,9.720701560E0
5.260937500E-1,-3.618117422E-2,-5.724057555E-2,9.727459908E0,9.727695607E0
5.310578130E-1,-5.264370888E-2,-2.153823897E-2,9.749591827E0,9.749757743E0
5.360203130E-1,-4.412992299E-2,-1.099417359E-2,9.770669937E0,9.770775780E0
5.409843750E-1,-6.134902686E-2,-2.342486940E-2,9.747943878E0,9.748165072E0
5.459468750E-1,-5.436753109E-2,-3.289633244E-2,9.742197990E0,9.742405231E0
5.509093750E-1,-6.403053552E-2,-3.828807548E-2,9.780649185E0,9.780933717E0
5.558734380E-1,-6.715257466E-2,-8.619125932E-3,9.765690804E0,9.765925488E0
5.608359380E-1,-4.774038494E-2,4.472368862E-3,9.794285774E0,9.794403145E0
5.658000000E-1,-6.492117047E-2,-2.055182680E-2,9.746613503E0,9.746851384E0
5.707625000E-1,-3.885310516E-2,-1.812889427E-2,9.792093277E0,9.792187139E0
5.757265630E-1,-6.120537221E-2,-2.213199995E-2,9.769559860E0,9.769776650E0
5.806890630E-1,-2.686294354E-2,-1.082466543E-1,9.710566521E0,9.711206985E0
5.856515630E-1,-3.438073769E-2,-8.394071460E-2,9.730839729E0,9.731262504E0
5.906156250E-1,-5.829402059E-2,-6.031472608E-2,9.710863113E0,9.711225384E0
5.955781250E-1,-4.611232504E-2,-4.677312449E-2,9.794334412E0,9.794554642E0
6.005421880E-1,-3.219722211E-2,-4.665820301E-2,9.750826836E0,9.750991623E0
6.055046880E-1,-6.211517006E-2,-2.125093527E-2,9.795206070E0,9.795426068E0
6.104687500E-1,-6.439444423E-2,-2.183511853E-2,9.714052200E0,9.714290173E0
6.154312500E-1,-5.412811413E-2,-2.350148372E-2,9.743002892E0,9.743181591E0
6.203937500E-1,-8.758947998E-2,-2.433466539E-2,9.746038437E0,9.746462400E0
6.253578130E-1,-5.100607127E-2,-2.793554589E-2,9.775554657E0,9.775727639E0
6.303203130E-1,-5.176264048E-2,2.461239230E-3,9.763276100E0,9.763413626E0
6.352843750E-1,-4.055777565E-2,-4.449384287E-2,9.683568954E0,9.683756107E0
6.402468750E-1,-5.349604413E-2,-1.868435182E-2,9.726272583E0,9.726437646E0
6.452109380E-1,-4.771165177E-2,-5.144660547E-2,9.744132996E0,9.744385614E0
6.501734380E-1,-5.432922393E-2,-2.390370890E-2,9.800396919E0,9.800576658E0
6.551359380E-1,-3.432327509E-2,-2.401863039E-2,9.767384529E0,9.767474368E0
6.601000000E-1,-3.709097207E-2,-4.730942473E-2,9.754744530E0,9.754929767E0
6.650625000E-1,-4.344039410E-2,-6.323565543E-2,9.730552673E0,9.730855109E0
6.700265630E-1,-4.276043922E-2,-2.537853830E-2,9.764186859E0,9.764313470E0
6.749890630E-1,-6.453809887E-2,-4.412992299E-2,9.735973358E0,9.736287272E0
6.799515630E-1,-1.578257792E-2,-6.358042359E-2,9.732372284E0,9.732592760E0
6.849156250E-1,-3.660255298E-2,-3.361459449E-2,9.737295151E0,9.737421966E0
6.898781250E-1,-6.293877214E-2,-5.048892647E-2,9.731348038E0,9.731682540E0
6.948421880E-1,-3.613329306E-2,-1.615607180E-2,9.750826836E0,9.750907169E0
6.998046880E-1,-2.081040107E-2,-7.676768303E-2,9.708104134E0,9.708429956E0
7.047687500E-1,-7.519709319E-2,-5.311297253E-2,9.764608383E0,9.765042369E0
