"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,8.135497570E-2,-1.627482623E-1,9.784202576E0,9.785894219E0
4.964062000E-3,1.555273384E-1,-1.842865050E-1,9.839230537E0,9.842185115E0
9.926562000E-3,1.076720357E-1,-2.010363340E-1,9.853586197E0,9.856224927E0
1.488906200E-2,1.244218722E-1,-1.771038771E-1,9.846412659E0,9.848791237E0
1.985312500E-2,1.339891106E-1,-2.225745767E-1,9.817692757E0,9.821129446E0
2.481562500E-2,1.124604419E-1,-2.129977643E-1,9.786586761E0,9.789550339E0
2.977968700E-2,7.896076888E-2,-2.417185903E-1,9.769837379E0,9.773146121E0
3.474218700E-2,1.316044778E-1,-1.794980913E-1,9.887085915E0,9.889590850E0
3.970625000E-2,1.076720357E-1,-1.938537359E-1,9.822480202E0,9.824982944E0
4.466875000E-2,1.531331539E-1,-1.651424617E-1,9.815307617E0,9.817891088E0
4.963281200E-2,1.076720357E-1,-1.627482623E-1,9.920584679E0,9.922503748E0
5.459531200E-2,9.810481220E-2,-1.627482623E-1,9.822480202E0,9.824318239E0
5.955781200E-2,1.339891106E-1,-2.034305334E-1,9.791375160E0,9.794404759E0
6.452031200E-2,1.172392666E-1,-1.842865050E-1,9.765057564E0,9.767499976E0
6.948437500E-2,1.387775093E-1,-1.938537359E-1,9.832057953E0,9.834947995E0
7.444687500E-2,1.028836370E-1,-2.106035650E-1,9.810519218E0,9.813318819E0
7.941093700E-2,1.459601074E-1,-2.345359921E-1,9.827268600E0,9.831150473E0
8.437343700E-2,1.244218722E-1,-1.794980913E-1,9.834442139E0,9.836867009E0
8.933750000E-2,1.220276728E-1,-1.579694152E-1,9.851191521E0,9.853213662E0
9.430000000E-2,1.101715863E-1,-2.136489898E-1,9.827364922E0,9.830304419E0
9.926250000E-2,1.567052901E-1,-2.103641331E-1,9.810193062E0,9.813699482E0
1.042265620E-1,1.461133361E-1,-1.789234728E-1,9.810768127E0,9.813487350E0
1.091890620E-1,1.160900518E-1,-1.841907203E-1,9.816686630E0,9.819100749E0
1.141531250E-1,1.818635613E-1,-2.034784108E-1,9.820584297E0,9.824375489E0
1.191156250E-1,1.393425465E-1,-2.182554305E-1,9.779327393E0,9.782755033E0
1.240781250E-1,1.170860380E-1,-2.259168774E-1,9.745483398E0,9.748804760E0
1.290421870E-1,1.364694983E-1,-2.305903435E-1,9.805730820E0,9.809391048E0
1.340046870E-1,1.448109001E-1,-2.078454494E-1,9.833350182E0,9.836612513E0
1.389687500E-1,1.213477179E-1,-1.978759766E-1,9.826799393E0,9.829540502E0
1.439328120E-1,1.756577939E-1,-1.822370589E-1,9.838244438E0,9.841499867E0
1.488953120E-1,1.569063962E-1,-2.347275317E-1,9.808115005E0,9.812177974E0
1.538578120E-1,1.183405966E-1,-2.025111616E-1,9.861228943E0,9.864018022E0
1.588218750E-1,1.694903225E-1,-1.403959841E-1,9.860395432E0,9.862851315E0
1.638140620E-1,1.404342949E-1,-1.885769069E-1,9.748452187E0,9.751287252E0
1.687468750E-1,1.077390760E-1,-2.021951228E-1,9.788549423E0,9.791230280E0
1.737109370E-1,1.394766122E-1,-2.022525817E-1,9.778695107E0,9.781780912E0
1.786734370E-1,1.892185509E-1,-2.000882328E-1,9.854323387E0,9.858170641E0
1.836375000E-1,1.378868669E-1,-2.230150998E-1,9.853021622E0,9.856509707E0
1.886000000E-1,1.182161048E-1,-1.967267543E-1,9.749926567E0,9.752627570E0
1.935640620E-1,1.632175148E-1,-1.958648562E-1,9.789525986E0,9.792845451E0
1.985265620E-1,9.857407212E-2,-1.710417569E-1,9.822547913E0,9.824531522E0
2.034890620E-1,9.773131460E-2,-1.903007329E-1,9.850043297E0,9.852366149E0
2.084531250E-1,1.047606915E-1,-2.051064819E-1,9.801095963E0,9.803801586E0
2.134156250E-1,1.078061163E-1,-1.978759766E-1,9.807196617E0,9.809785041E0
2.183781250E-1,1.330601573E-1,-2.438446432E-1,9.798213005E0,9.802149933E0
2.233421870E-1,1.559582949E-1,-2.336740941E-1,9.811553955E0,9.815575255E0
2.283046870E-1,1.403193623E-1,-1.948305517E-1,9.826694489E0,9.829627309E0
2.332687500E-1,1.290761977E-1,-1.846025288E-1,9.791585922E0,9.794176516E0
2.382312500E-1,1.314225197E-1,-2.074049115E-1,9.827325821E0,9.830392742E0
2.431953120E-1,1.381071359E-1,-2.279567271E-1,9.876082420E0,9.879678225E0
2.481578120E-1,1.669141650E-1,-2.459994406E-1,9.791518211E0,9.796030061E0
2.531203120E-1,1.148259118E-1,-1.980196387E-1,9.829500198E0,9.832165118E0
2.580843750E-1,1.276109517E-1,-2.118772715E-1,9.910511017E0,9.913596983E0
2.630468750E-1,1.325621605E-1,-2.117431909E-1,9.756314278E0,9.759512088E0
2.680109370E-1,1.478371769E-1,-1.905976087E-1,9.778197289E0,9.781171990E0
2.729734370E-1,1.147397235E-1,-2.261275649E-1,9.818582535E0,9.821856335E0
2.779359370E-1,8.731174469E-2,-1.900708824E-1,9.772384644E0,9.774622852E0
2.829000000E-1,1.489480734E-1,-1.797949672E-1,9.791221619E0,9.794004929E0
2.878625000E-1,1.223724335E-1,-2.005095929E-1,9.802101135E0,9.804915388E0
2.928265620E-1,1.260020435E-1,-2.035645992E-1,9.865892410E0,9.868796690E0
2.977890620E-1,1.444373876E-1,-1.735796183E-1,9.805797577E0,9.808397329E0
3.027515620E-1,1.386338472E-1,-2.117048949E-1,9.788683891E0,9.791954383E0
3.077156250E-1,1.516295820E-1,-2.331090569E-1,9.835945129E0,9.839875403E0
3.126781250E-1,1.224203184E-1,-1.527692229E-1,9.801402092E0,9.803356983E0
3.176421870E-1,1.408365220E-1,-2.044743896E-1,9.783588409E0,9.786738316E0
3.226046870E-1,1.499249041E-1,-1.941122860E-1,9.793166161E0,9.796237058E0
3.275687500E-1,1.067526639E-1,-2.148939669E-1,9.789976120E0,9.792916214E0
3.325312500E-1,1.168657765E-1,-2.242600918E-1,9.800942421E0,9.804204330E0
3.374953120E-1,1.111484244E-1,-2.276215553E-1,9.839182854E0,9.842443029E0
3.424578120E-1,1.474540979E-1,-2.760131657E-1,9.805271149E0,9.810263415E0
3.474203120E-1,1.086776033E-1,-2.087360770E-1,9.786959648E0,9.789788595E0
3.523843750E-1,1.153909490E-1,-2.205538601E-1,9.731060982E0,9.734244034E0
3.573468750E-1,1.420432031E-1,-2.028846592E-1,9.759552002E0,9.762693979E0
3.623109370E-1,8.737878501E-2,-1.995902210E-1,9.807550430E0,9.809970273E0
3.672734370E-1,1.319013685E-1,-2.637548149E-1,9.836175919E0,9.840595575E0
3.722359370E-1,1.419761628E-1,-1.481244713E-1,9.841595650E0,9.843734201E0
3.772000000E-1,1.192887053E-1,-1.464676857E-1,9.811898232E0,9.813716395E0
3.821625000E-1,1.113974154E-1,-2.369780838E-1,9.773323059E0,9.776830346E0
3.871265620E-1,1.175170019E-1,-1.965160817E-1,9.839364052E0,9.842027929E0
3.920890620E-1,1.467549950E-1,-1.875426024E-1,9.866735458E0,9.869608800E0
3.970531250E-1,1.198345870E-1,-1.371398717E-1,9.781769753E0,9.783464988E0
4.020156250E-1,1.301009208E-1,-2.165986300E-1,9.803058624E0,9.806314272E0
4.069781250E-1,1.306276470E-1,-2.399373204E-1,9.818409920E0,9.822209876E0
4.119421870E-1,1.344679445E-1,-1.899655461E-1,9.806507111E0,9.809268589E0
4.169046870E-1,1.378677040E-1,-2.393531352E-1,9.832736969E0,9.836615969E0
4.218687500E-1,1.501068771E-1,-1.946773231E-1,9.825142860E0,9.828217721E0
4.268312500E-1,1.342380941E-1,-1.889599711E-1,9.841652870E0,9.844382000E0
4.317953120E-1,1.167987362E-1,-2.018886507E-1,9.854342461E0,9.857102328E0
4.367578120E-1,1.324472278E-1,-1.430104524E-1,9.789268494E0,9.791208909E0
4.417218750E-1,1.288080513E-1,-1.929343641E-1,9.841864586E0,9.844598200E0
4.466843750E-1,1.571266651E-1,-2.540535331E-1,9.809561729E0,9.814108890E0
4.516468750E-1,1.415356249E-1,-1.981441379E-1,9.868602753E0,9.871606441E0
4.566109370E-1,1.791245937E-1,-1.947731078E-1,9.835562706E0,9.839121705E0
4.615734370E-1,1.265958101E-1,-2.122603506E-1,9.735857964E0,9.738994365E0
4.665375000E-1,1.057279408E-1,-2.454344034E-1,9.804686546E0,9.808327825E0
4.715000000E-1,1.516583115E-1,-2.005862147E-1,9.840523720E0,9.843736189E0
4.764625000E-1,1.287793219E-1,-2.183799297E-1,9.787238121E0,9.790521127E0
4.814265620E-1,1.295358837E-1,-1.960755438E-1,9.824318886E0,9.827129120E0
4.863890620E-1,8.433336020E-2,-1.368908733E-1,9.827422142E0,9.828737314E0
4.913531250E-1,1.045212671E-1,-2.252943665E-1,9.793146133E0,9.796294883E0
4.963156250E-1,1.695860922E-1,-2.098374218E-1,9.855846405E0,9.859538506E0
5.012796870E-1,1.403576881E-1,-2.027027011E-1,9.853950500E0,9.857034500E0
5.062421870E-1,1.163007468E-1,-2.188587636E-1,9.836309433E0,9.839431299E0
5.112046870E-1,1.328398883E-1,-1.702085882E-1,9.809628487E0,9.812004303E0
5.161687500E-1,1.391222626E-1,-1.420815140E-1,9.855817795E0,9.857823622E0
5.211312500E-1,1.321216226E-1,-1.660235226E-1,9.828485489E0,9.830775500E0
5.260953120E-1,1.056896374E-1,-1.941889226E-1,9.815690041E0,9.818179598E0
5.310578120E-1,1.410663575E-1,-2.105844170E-1,9.800119400E0,9.803396644E0
5.360218750E-1,1.348701566E-1,-1.808771491E-1,9.790953636E0,9.793552961E0
5.409843750E-1,1.269309968E-1,-1.784254909E-1,9.804447174E0,9.806892042E0
5.459468750E-1,1.118379533E-1,-1.824477613E-1,9.796096802E0,9.798433929E0
5.509109370E-1,8.956229687E-2,-1.878299117E-1,9.806812286E0,9.809019762E0
5.558734370E-1,9.409212321E-2,-1.964011490E-1,9.773016930E0,9.775443041E0
5.608375000E-1,9.907206893E-2,-1.727560163E-1,9.760996819E0,9.763028158E0
5.658000000E-1,1.292102784E-1,-2.229672074E-1,9.817060471E0,9.820442248E0
5.707625000E-1,1.525681168E-1,-2.519945204E-1,9.820306778E0,9.824724092E0
5.757265620E-1,1.259541661E-1,-1.976078302E-1,9.828408241E0,9.831201446E0
