"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.523859370E-1,1.461229175E-1,-1.284154058E-1,9.803451538E0,9.805381404E0
3.573484370E-1,1.097023264E-1,-1.936238855E-1,9.756505966E0,9.759043676E0
3.623109370E-1,1.315853298E-1,-1.961617321E-1,9.839661598E0,9.842496355E0
3.672750000E-1,1.188577488E-1,-1.814421862E-1,9.830390930E0,9.832783648E0
3.722375000E-1,1.202272326E-1,-1.822274774E-1,9.816341400E0,9.818768758E0
3.772015620E-1,1.234163046E-1,-2.347275317E-1,9.769885063E0,9.773483655E0
3.821640620E-1,1.081987619E-1,-1.833862811E-1,9.795291901E0,9.797605877E0
3.871281250E-1,1.285015941E-1,-2.189736962E-1,9.775583267E0,9.778879811E0
3.920890620E-1,1.233780012E-1,-1.998583823E-1,9.780257225E0,9.783077067E0
3.970531250E-1,1.252263188E-1,-1.806856096E-1,9.787246704E0,9.789715367E0
4.020156250E-1,1.641560495E-1,-1.913158745E-1,9.754207611E0,9.757464583E0
4.069781250E-1,1.148450673E-1,-1.682070345E-1,9.788330078E0,9.790448852E0
4.119421870E-1,1.552208811E-1,-1.627578288E-1,9.838339806E0,9.840910210E0
4.169046870E-1,1.578832418E-1,-1.584865749E-1,9.805921555E0,9.808473003E0
4.218687500E-1,1.069537848E-1,-2.042924464E-1,9.816198349E0,9.818906484E0
4.268312500E-1,1.655829996E-1,-2.027505785E-1,9.797609329E0,9.801105759E0
4.317953120E-1,1.477222443E-1,-2.273150831E-1,9.746172905E0,9.749942579E0
4.367578120E-1,1.127094403E-1,-1.827637851E-1,9.796689987E0,9.799042847E0
4.417203120E-1,1.356171519E-1,-1.854548603E-1,9.763879776E0,9.766582503E0
4.466843750E-1,1.645870060E-1,-2.407321930E-1,9.782957077E0,9.787302491E0
4.516468750E-1,1.633611768E-1,-2.191077620E-1,9.787276268E0,9.791091453E0
4.566125000E-1,1.005852073E-1,-1.955200732E-1,9.764809608E0,9.767284790E0
4.615734370E-1,1.280323267E-1,-2.095596939E-1,9.869339943E0,9.872394768E0
4.665375000E-1,1.237323433E-1,-2.029229552E-1,9.822240829E0,9.825115894E0
4.715000000E-1,1.398213804E-1,-2.144438624E-1,9.809915543E0,9.813255278E0
4.764625000E-1,1.379634887E-1,-2.352446765E-1,9.834346771E0,9.838127383E0
4.814265620E-1,1.054119095E-1,-2.318640798E-1,9.819645882E0,9.822948532E0
4.863890620E-1,1.264138520E-1,-1.877437085E-1,9.833177567E0,9.835782085E0
4.913531250E-1,1.122497544E-1,-1.667226255E-1,9.801430702E0,9.803491228E0
4.963171870E-1,1.041094661E-1,-1.745277196E-1,9.804811478E0,9.806917294E0
5.012796870E-1,1.295358837E-1,-1.514763534E-1,9.785198212E0,9.787227834E0
5.062437500E-1,1.183214486E-1,-1.629876643E-1,9.798290253E0,9.800360035E0
5.112062500E-1,1.079114601E-1,-1.795555502E-1,9.796632767E0,9.798872315E0
5.161687500E-1,1.074804962E-1,-2.176903933E-1,9.825534821E0,9.828533750E0
5.211312500E-1,1.269214153E-1,-2.220957279E-1,9.817989349E0,9.821321216E0
5.260953120E-1,1.373409927E-1,-2.038040310E-1,9.825966835E0,9.829039774E0
5.310578120E-1,1.080263853E-1,-2.243749946E-1,9.796402931E0,9.799567553E0
5.360218750E-1,1.201410443E-1,-1.935472786E-1,9.793835640E0,9.796484623E0
5.409843750E-1,1.468507499E-1,-1.962096244E-1,9.804332733E0,9.807395358E0
5.459484370E-1,1.261265427E-1,-1.898985058E-1,9.783445358E0,9.786100982E0
