"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,7.656657696E-2,-2.201803625E-1,9.839230537E0,9.841991638E0
4.964062000E-3,1.004894301E-1,-2.106035650E-1,9.769837379E0,9.772623722E0
9.926562000E-3,1.172392666E-1,-1.436042190E-1,9.844018936E0,9.845764370E0
1.488906200E-2,1.220276728E-1,-1.866806895E-1,9.798557281E0,9.801095104E0
1.985312500E-2,1.148546413E-1,-2.345359921E-1,9.844018936E0,9.847482294E0
2.481562500E-2,1.794597805E-1,-1.579694152E-1,9.793769836E0,9.796687591E0
2.977968700E-2,9.331640601E-2,-2.106035650E-1,9.800942421E0,9.803649022E0
3.474218700E-2,1.292102784E-1,-1.890748888E-1,9.841625214E0,9.844289281E0
3.970625000E-2,1.507389396E-1,-1.938537359E-1,9.784202576E0,9.787283665E0
4.466875000E-2,1.531331539E-1,-2.153919637E-1,9.858373642E0,9.861915348E0
4.963125000E-2,1.316044778E-1,-1.531810313E-1,9.788980484E0,9.791063430E0
5.459531200E-2,1.339891106E-1,-2.082189322E-1,9.786586761E0,9.789718517E0
5.955781200E-2,1.220276728E-1,-1.914691031E-1,9.906229019E0,9.908830635E0
6.452187500E-2,1.124604419E-1,-2.680356801E-1,9.829663277E0,9.833960068E0
6.948437500E-2,1.196334660E-1,-2.010363340E-1,9.774624825E0,9.777423906E0
7.444843700E-2,1.292102784E-1,-2.129977643E-1,9.810519218E0,9.813681811E0
7.941093700E-2,1.363832951E-1,-2.106035650E-1,9.796163559E0,9.799376242E0
8.437343700E-2,1.411717087E-1,-1.507868171E-1,9.800942421E0,9.803118813E0
8.933593700E-2,1.004894301E-1,-1.340369880E-1,9.803337097E0,9.804768344E0
9.430000000E-2,1.292102784E-1,-1.771038771E-1,9.867941856E0,9.870376769E0
9.926406200E-2,1.436999887E-1,-1.961425841E-1,9.852876663E0,9.855876427E0
1.042265620E-1,1.434509903E-1,-2.345647216E-1,9.824386597E0,9.828233351E0
1.091890620E-1,1.138969660E-1,-2.260030657E-1,9.844372749E0,9.847625335E0
1.141531250E-1,1.453184634E-1,-1.986612827E-1,9.780007362E0,9.783104199E0
1.191156250E-1,1.273236424E-1,-2.177478671E-1,9.800195694E0,9.803441288E0
1.240796870E-1,1.179192215E-1,-2.305520475E-1,9.810030937E0,9.813448231E0
1.290421870E-1,1.358374357E-1,-1.568872482E-1,9.851248741E0,9.853434283E0
1.340062500E-1,1.325525790E-1,-1.587930322E-1,9.827766418E0,9.829942939E0
1.389687500E-1,8.836519718E-2,-1.955583990E-1,9.767384529E0,9.769741657E0
1.439312500E-1,1.502601057E-1,-1.436712444E-1,9.880084991E0,9.882271954E0
1.488953120E-1,1.574810147E-1,-2.200367153E-1,9.826656342E0,9.830381034E0
1.538578120E-1,1.051437631E-1,-1.692987978E-1,9.831980705E0,9.834000299E0
1.588218750E-1,1.436233670E-1,-1.576629579E-1,9.851221085E0,9.853529425E0
1.637843750E-1,1.074038818E-1,-2.197972834E-1,9.808680534E0,9.811730748E0
1.687484370E-1,1.418612301E-1,-1.758493185E-1,9.860797882E0,9.863385953E0
1.737109370E-1,1.108802706E-1,-1.993220896E-1,9.801248550E0,9.803902125E0
1.786734370E-1,1.285494864E-1,-1.959893554E-1,9.783703804E0,9.786510968E0
1.836359370E-1,1.509591937E-1,-1.773241609E-1,9.824933052E0,9.827692609E0
1.886000000E-1,1.441979855E-1,-1.748054475E-1,9.761083603E0,9.763713592E0
1.935625000E-1,1.239526123E-1,-2.022525817E-1,9.782995224E0,9.785870728E0
1.985265620E-1,1.120390594E-1,-1.809633523E-1,9.823361397E0,9.825666879E0
2.034890620E-1,1.488906145E-1,-1.932312250E-1,9.815423012E0,9.818453830E0
2.084531250E-1,1.373026669E-1,-2.368248552E-1,9.851325989E0,9.855128704E0
2.134156250E-1,1.505474150E-1,-2.136298269E-1,9.817098618E0,9.820576739E0
2.183796870E-1,1.105259210E-1,-2.061311901E-1,9.805405617E0,9.808194806E0
2.233421870E-1,7.146213204E-2,-1.800822765E-1,9.812348366E0,9.814260895E0
2.283062500E-1,1.060056761E-1,-1.875426024E-1,9.821839333E0,9.824201612E0
2.332687500E-1,1.493119895E-1,-2.454918623E-1,9.861218452E0,9.865403676E0
2.382312500E-1,1.539663225E-1,-2.090329528E-1,9.845541954E0,9.848964249E0
2.431953120E-1,1.291145086E-1,-1.905688792E-1,9.834337234E0,9.837030848E0
2.481578120E-1,1.356458962E-1,-1.836544126E-1,9.777163506E0,9.779828985E0
2.531218750E-1,1.454525441E-1,-1.507868171E-1,9.827881813E0,9.830114650E0
2.580843750E-1,1.293443441E-1,-1.890270114E-1,9.837410927E0,9.840076977E0
2.630468750E-1,1.354639232E-1,-2.443426549E-1,9.861889839E0,9.865846391E0
2.680109370E-1,1.498387158E-1,-2.035550177E-1,9.815279007E0,9.818532898E0
2.729734370E-1,1.068197042E-1,-1.990730911E-1,9.787696838E0,9.790303874E0
2.779375000E-1,1.231960431E-1,-2.152961940E-1,9.802713394E0,9.805851294E0
2.829000000E-1,1.657266319E-1,-1.942176372E-1,9.780447960E0,9.783779847E0
2.878640620E-1,1.454812735E-1,-1.829553246E-1,9.825334549E0,9.828114593E0
2.928265620E-1,9.746316820E-2,-1.810686737E-1,9.839384079E0,9.841532604E0
2.977890620E-1,1.325813085E-1,-2.186385095E-1,9.813611984E0,9.816942537E0
3.027515620E-1,1.159559786E-1,-1.661288589E-1,9.801727295E0,9.803820814E0
3.077156250E-1,1.607179791E-1,-1.941122860E-1,9.887430191E0,9.890641315E0
