"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.474218750E-1	-4.336377978E-2	-1.016003415E-1	9.935688019E0	9.936302102E0
3.523859380E-1	2.088701539E-2	-1.230811253E-1	9.851517677E0	9.852308652E0
3.573484380E-1	-1.195185445E-2	-7.241981477E-2	9.812703133E0	9.812977644E0
3.623109380E-1	-2.044648118E-2	-1.605838984E-1	9.623991966E0	9.625353324E0
3.672750000E-1	-5.363011733E-3	-5.184883252E-2	9.976447105E0	9.976583278E0
3.722375000E-1	8.408436552E-3	-4.697423428E-2	9.832641602E0	9.832757403E0
3.772015630E-1	-2.139458619E-2	8.724471554E-3	9.799726486E0	9.799753724E0
3.821640630E-1	-5.349604413E-2	-1.960372366E-2	9.914484978E0	9.914648683E0
3.871281250E-1	3.256114200E-3	-1.144619957E-1	9.957187653E0	9.957846057E0
3.920906250E-1	8.243715763E-2	-2.172019780E-1	9.981427193E0	9.984130477E0
3.970531250E-1	8.050263673E-2	-2.394776344E-1	9.762923241E0	9.766191705E0
4.020171880E-1	7.774451375E-2	-1.202272326E-1	9.968517303E0	9.969545427E0
4.069796880E-1	5.535394419E-3	-5.977842584E-2	9.753806114E0	9.753990866E0
4.119437500E-1	-1.066856273E-2	-5.355350673E-2	9.829011917E0	9.829163599E0
4.169062500E-1	8.274360560E-3	-2.028272003E-1	9.857780457E0	9.859870327E0
4.218703130E-1	-3.830722562E-5	-2.272480428E-1	9.928936958E0	9.931537182E0
4.268328130E-1	4.251144454E-2	-1.552017331E-1	9.914101601E0	9.915407473E0
4.317953130E-1	-2.872084454E-2	-1.452322751E-1	9.681300163E0	9.682432037E0
4.367593750E-1	-2.655648626E-2	-8.499416709E-2	9.985104561E0	9.985501607E0
4.417218750E-1	-3.035847656E-2	-4.887044430E-2	9.787688255E0	9.787857342E0
4.466859380E-1	-6.140648574E-2	-4.714662209E-2	9.813353539E0	9.813658912E0
4.516484380E-1	-8.619125932E-2	-5.910805240E-2	9.821063042E0	9.821619111E0
4.566125000E-1	-4.571967572E-2	-1.093096659E-1	9.991406441E0	9.992108964E0
4.615750000E-1	-4.884171300E-3	-1.595879048E-1	9.978238106E0	9.979515412E0
4.665375000E-1	3.989697620E-2	-8.022490889E-2	9.695281029E0	9.695695026E0
4.715015630E-1	-2.670013718E-2	-4.831499234E-2	9.863784790E0	9.863939255E0
4.764640630E-1	-6.636726856E-2	-1.325429976E-1	9.807425499E0	9.808545620E0
4.814281250E-1	2.599145286E-2	-1.096927449E-1	9.857512474E0	9.858157040E0
4.863906250E-1	4.567179084E-2	-1.996476948E-1	9.880276680E0	9.882399121E0
4.913531250E-1	4.102703929E-2	-1.766058952E-1	9.943349838E0	9.945002708E0
4.963171880E-1	2.976471558E-2	-3.940856084E-2	9.860443115E0	9.860566789E0
5.012796880E-1	2.149993181E-2	-6.935523450E-2	9.863143921E0	9.863411195E0
5.062437500E-1	2.413355280E-3	-1.226022765E-1	9.878036499E0	9.878797610E0
5.112062500E-1	-1.038125902E-2	-1.662725210E-1	9.891969681E0	9.893372453E0
5.161687500E-1	5.918466486E-3	-1.451365054E-1	9.830181122E0	9.831254270E0
5.211328130E-1	-1.096544322E-2	-1.147971824E-1	9.852619171E0	9.853294026E0
5.260968750E-1	-1.697010174E-2	-4.274128750E-2	9.892573357E0	9.892680244E0
5.310593750E-1	-2.930502966E-2	-4.977066442E-2	9.806353569E0	9.806523656E0
5.360218750E-1	-3.886268288E-2	-1.144236922E-1	9.909351349E0	9.910088155E0
5.409859380E-1	-1.657745242E-2	-1.216254532E-1	9.871945381E0	9.872708502E0
5.459484380E-1	-4.873637110E-2	-6.292919815E-2	9.845713615E0	9.846035340E0
5.509109380E-1	-1.742021181E-2	-9.571061283E-2	9.789575577E0	9.790058935E0
5.558750000E-1	-3.532884270E-2	-1.318822056E-1	9.788511276E0	9.789463420E0
5.608375000E-1	1.253604051E-2	-8.046433330E-2	9.797840118E0	9.798178537E0
5.658015630E-1	-1.184650976E-2	-1.309724152E-1	9.941443443E0	9.942313204E0
5.707640630E-1	-4.390008003E-2	-4.080677405E-2	9.838550568E0	9.838733134E0
5.757281250E-1	-1.478658989E-2	-8.737878501E-2	9.790896416E0	9.791297479E0
5.806906250E-1	4.546110332E-2	-6.825389713E-2	9.749246597E0	9.749591505E0
5.856531250E-1	-3.100970015E-2	4.010766745E-2	9.883522987E0	9.883653012E0
5.906171880E-1	-9.064447880E-2	-5.244259164E-2	9.821858406E0	9.822416668E0
5.955796880E-1	-3.164177015E-2	-1.229757741E-1	9.884567261E0	9.885382854E0
6.005421880E-1	1.177947270E-3	-2.339613885E-1	9.916659355E0	9.919418939E0
6.055062500E-1	1.265383512E-1	-1.244984865E-1	9.919379234E0	9.920967504E0
6.104703130E-1	2.080082521E-2	-7.131848484E-2	9.936387062E0	9.936664775E0
6.154328130E-1	2.846227027E-2	-8.921752870E-2	9.789354324E0	9.789802243E0
6.203953130E-1	-2.959233243E-3	-6.683653593E-2	9.909773827E0	9.909999656E0
6.253593750E-1	1.628057216E-4	-2.031528056E-1	9.833369255E0	9.835467553E0
6.303218750E-1	1.991975820E-3	-1.654010266E-1	9.916007996E0	9.917387561E0
