"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,8.613379300E-2,-1.962479204E-1,9.822480202E0,9.824818044E0
4.964062000E-3,1.268160790E-1,-2.249687612E-1,9.774624825E0,9.778035780E0
9.926562000E-3,1.292102784E-1,-2.201803625E-1,9.812912941E0,9.816233243E0
1.489062500E-2,1.196334660E-1,-1.627482623E-1,9.820085526E0,9.822162638E0
1.985312500E-2,1.292102784E-1,-1.699308604E-1,9.846412659E0,9.848726519E0
2.481718700E-2,1.435659230E-1,-2.369302064E-1,9.791375160E0,9.795293494E0
2.977968700E-2,1.268160790E-1,-2.058247328E-1,9.817692757E0,9.820668878E0
3.474218700E-2,1.148546413E-1,-1.866806895E-1,9.784202576E0,9.786657310E0
3.970625000E-2,1.028836370E-1,-1.675366461E-1,9.788980484E0,9.790954626E0
4.466875000E-2,1.363832951E-1,-1.579694152E-1,9.822480202E0,9.824697046E0
4.963281200E-2,9.571061283E-2,-1.771038771E-1,9.832057953E0,9.834118664E0
5.459531200E-2,1.339891106E-1,-2.321417928E-1,9.832057953E0,9.835710777E0
5.955937500E-2,1.052778363E-1,-1.938537359E-1,9.848807335E0,9.851277512E0
6.452187500E-2,1.339891106E-1,-1.292485744E-1,9.839230537E0,9.840991609E0
6.948437500E-2,1.028836370E-1,-1.603540480E-1,9.839230537E0,9.841074943E0
7.444843700E-2,1.292102784E-1,-1.866806895E-1,9.784202576E0,9.786836313E0
7.941093700E-2,1.124604419E-1,-1.866806895E-1,9.841625214E0,9.844037986E0
8.437500000E-2,1.148546413E-1,-2.106035650E-1,9.745914459E0,9.748866298E0
8.933750000E-2,1.339891106E-1,-2.034305334E-1,9.827268600E0,9.830287138E0
9.430156200E-2,1.063695922E-1,-1.712811887E-1,9.816820145E0,9.818890441E0
9.926406200E-2,1.171722338E-1,-1.688678265E-1,9.784374237E0,9.786532833E0
1.042265620E-1,1.002978981E-1,-2.111015469E-1,9.824415207E0,9.827194803E0
1.091906250E-1,1.282525957E-1,-2.165794820E-1,9.829471588E0,9.832693787E0
1.141531250E-1,1.193174347E-1,-2.059683800E-1,9.804304123E0,9.807193225E0
1.191171870E-1,1.220085248E-1,-1.589654237E-1,9.845071793E0,9.847110982E0
1.240796870E-1,1.326675117E-1,-1.847940683E-1,9.843194962E0,9.845823306E0
1.290437500E-1,1.350138187E-1,-2.029995769E-1,9.795789719E0,9.798823081E0
1.340062500E-1,1.055747122E-1,-1.867477298E-1,9.768821716E0,9.771176923E0
1.389687500E-1,1.177947223E-1,-1.823615581E-1,9.766369820E0,9.768782462E0
1.439328120E-1,8.282022923E-2,-2.155068815E-1,9.821388245E0,9.824101458E0
